Brand,Price,Discount %,Rating,Number of Ratings,Product Link,Discount Amount,Product Name,Product Type
Aroma,299,90,3.7,41388,https://www.flipkart.com/aroma-nb120-amaze-upto-50-hours-playtime-fast-charging-dual-pairing-neckband-bluetooth/p/itma718daa8fe2db?pid=ACCH5Z8QAWAYHCVK&lid=LSTACCH5Z8QAWAYHCVKR26ZQC&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_1&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-AuyJp-kjzBO4wUUtVgZ9CMWjoDCKOdYJpO7ZCuQdKP-A%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2700,Aroma Nb120 Amaze Upto 50 Hours Playtime Fast Charging Dual Pairing Neckband Bluetooth,Neckband
Aroma,299,80,3.8,9478,https://www.flipkart.com/aroma-nb121-almaty-upto-40h-playtime-fast-charging-digital-display-earbuds-bluetooth/p/itme2c4bdb2da3d8?pid=ACCH784UVKMWX6XH&lid=LSTACCH784UVKMWX6XHLJYLOZ&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_2&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-CnziFpi8h2p79S49osKiwfJGRwX3Yc53-aAyFUfKSxEw%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1200,Aroma Nb121 Almaty Upto 40H Playtime Fast Charging Digital Display Earbuds Bluetooth,Earbuds
Aroma,378,85,4.0,298135,https://www.flipkart.com/aroma-nb119-titanium-48-hours-playtime-neckband-bluetooth/p/itmbc3742b6dd62c?pid=ACCGDSSU8BNHKN8G&lid=LSTACCGDSSU8BNHKN8GFNXZ1Y&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_3&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGDSSU8BNHKN8G.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2121,Aroma Nb119 Titanium 48 Hours Playtime Neckband Bluetooth,Neckband
OnePlus,1599,30,4.3,1208320,https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth/p/itmd8774f1e56180?pid=ACCGC4GN5SQR7ZCZ&lid=LSTACCGC4GN5SQR7ZCZWKI1S4&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=default_BestsellerId_0pm%2Ffcn&srno=s_1_4&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGC4GN5SQR7ZCZ.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,700,Oneplus Bullets Wireless Z2 Bluetooth,Other
Aroma,469,84,3.9,6341,https://www.flipkart.com/aroma-nb126-aster-v5-4-upto-50hr-playtime-45ms-latency-fast-charging-rgb-gaming-tws-bluetooth/p/itma011fff06aff8?pid=ACCH93WDDZU2Z5YG&lid=LSTACCH93WDDZU2Z5YGQTQ3XY&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_5&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCH93WDDZU2Z5YG.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2530,Aroma Nb126 Aster V5 4 Upto 50Hr Playtime 45Ms Latency Fast Charging Rgb Gaming Tws Bluetooth,Other
Aroma,449,85,3.9,3986,https://www.flipkart.com/aroma-nb126-berry-v5-4-upto-60hr-playtime-dual-paring-fast-charging-heavy-bass-bluetooth/p/itm0220a7291d33f?pid=ACCH93VYQKAFWVAE&lid=LSTACCH93VYQKAFWVAEJGLFT4&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_6&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-Bmi6FvERaz9_3qqo3XaxQh1Ci_EnyaQLtqyc2m4f6C6Q%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2550,Aroma Nb126 Berry V5 4 Upto 60Hr Playtime Dual Paring Fast Charging Heavy Bass Bluetooth,Other
Nilesawar,299,80,3.6,105,https://www.flipkart.com/nilesawar-x379-aru-1128-enc-calling-30-hrs-playtime-low-latency-up-50ms-bluetooth-without-mic/p/itmbebddc4b354bf?pid=ACCH29S3H8SVQNE4&lid=LSTACCH29S3H8SVQNE4VZPZS5&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_7&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCH29S3H8SVQNE4.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1200,Nilesawar X379 Aru 1128 Enc Calling 30 Hrs Playtime Low Latency Up 50Ms Bluetooth Without Mic,Other
realme,1099,56,4.2,461206,https://www.flipkart.com/realme-buds-wireless-3-neo-13-4mm-driver-32-hrs-playback-dual-device-connection-bluetooth/p/itm3312f6770e032?pid=ACCHYRHPP4GXZCG3&lid=LSTACCHYRHPP4GXZCG3V5QKA9&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_8&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCHYRHPP4GXZCG3.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1400,Realme Buds Wireless 3 Neo 13 4Mm Driver 32 Hrs Playback Dual Device Connection Bluetooth,Earbuds
realme,1099,56,4.2,461206,https://www.flipkart.com/realme-buds-wireless-3-neo-13-4mm-driver-32-hrs-playback-dual-device-connection-bluetooth/p/itm8e3935d21106d?pid=ACCHYRKD9H47GUVN&lid=LSTACCHYRKD9H47GUVNDZJM4M&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_9&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCHYRKD9H47GUVN.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1400,Realme Buds Wireless 3 Neo 13 4Mm Driver 32 Hrs Playback Dual Device Connection Bluetooth,Earbuds
boAt,899,64,4.1,43809,https://www.flipkart.com/boat-rockerz-110-40-hrs-playback-enx-technology-beast-mode-asap-charge-bluetooth/p/itmbe0acd8f09dfb?pid=ACCGS9ZM78FCXJQH&lid=LSTACCGS9ZM78FCXJQHPHCUWB&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_10&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGS9ZM78FCXJQH.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1591,Boat Rockerz 110 40 Hrs Playback Enx Technology Beast Mode Asap Charge Bluetooth,Other
